[Frame 0240] time = 0.020s, FPS ~ 50.0
[Frame 0241] time = 0.020s, FPS ~ 50.0
[Frame 0242] time = 0.026s, FPS ~ 38.1
[Frame 0243] time = 0.017s, FPS ~ 58.6
[Frame 0244] time = 0.020s, FPS ~ 49.7
[Frame 0245] time = 0.020s, FPS ~ 49.8
[Frame 0246] time = 0.030s, FPS ~ 33.2
[Frame 0247] time = 0.020s, FPS ~ 50.2
[Frame 0248] time = 0.020s, FPS ~ 50.0
[Frame 0249] time = 0.020s, FPS ~ 48.9
[Frame 0250] time = 0.020s, FPS ~ 50.0
[Frame 0251] time = 0.020s, FPS ~ 50.0
[Frame 0252] time = 0.020s, FPS ~ 50.0
[Frame 0253] time = 0.020s, FPS ~ 49.8
[Frame 0254] time = 0.030s, FPS ~ 33.1
[Frame 0255] time = 0.020s, FPS ~ 49.5
[Frame 0256] time = 0.020s, FPS ~ 49.8
[Frame 0257] time = 0.030s, FPS ~ 33.3
[Frame 0258] time = 0.020s, FPS ~ 50.2
[Frame 0259] time = 0.020s, FPS ~ 49.9
[Frame 0260] time = 0.020s, FPS ~ 50.1
[Frame 0261] time = 0.020s, FPS ~ 49.8
[Frame 0262] time = 0.020s, FPS ~ 50.2
[Frame 0263] time = 0.020s, FPS ~ 50.0
[Frame 0264] time = 0.020s, FPS ~ 50.0
[Frame 0265] time = 0.020s, FPS ~ 50.0
[Frame 0266] time = 0.020s, FPS ~ 49.8
[Frame 0267] time = 0.020s, FPS ~ 50.2
[Frame 0268] time = 0.030s, FPS ~ 33.3
[Frame 0269] time = 0.020s, FPS ~ 50.0
[Frame 0270] time = 0.020s, FPS ~ 50.0
[Frame 0271] time = 0.020s, FPS ~ 49.9
[Frame 0272] time = 0.020s, FPS ~ 49.9
[Frame 0273] time = 0.020s, FPS ~ 50.2
[Frame 0274] time = 0.030s, FPS ~ 33.3
[Frame 0275] time = 0.020s, FPS ~ 50.0
[Frame 0276] time = 0.030s, FPS ~ 33.3
[Frame 0277] time = 0.020s, FPS ~ 50.0
[Frame 0278] time = 0.020s, FPS ~ 50.0
[Frame 0279] time = 0.020s, FPS ~ 49.9
[Frame 0280] time = 0.020s, FPS ~ 51.0
[Frame 0281] time = 0.020s, FPS ~ 50.0
[Frame 0282] time = 0.020s, FPS ~ 50.2
[Frame 0283] time = 0.020s, FPS ~ 50.0
[Frame 0284] time = 0.020s, FPS ~ 50.0
[Frame 0285] time = 0.030s, FPS ~ 33.2
[Frame 0286] time = 0.020s, FPS ~ 50.0
[Frame 0287] time = 0.030s, FPS ~ 33.4
[Frame 0288] time = 0.020s, FPS ~ 49.9
[Frame 0289] time = 0.020s, FPS ~ 49.9
[Frame 0290] time = 0.020s, FPS ~ 50.0
[Frame 0291] time = 0.020s, FPS ~ 49.9
[Frame 0292] time = 0.030s, FPS ~ 33.3
[Frame 0293] time = 0.020s, FPS ~ 49.6
[Frame 0294] time = 0.020s, FPS ~ 50.0
[Frame 0295] time = 0.020s, FPS ~ 50.0
[Frame 0296] time = 0.020s, FPS ~ 49.8
[Frame 0297] time = 0.020s, FPS ~ 50.2
[Frame 0298] time = 0.020s, FPS ~ 49.8
[Frame 0299] time = 0.020s, FPS ~ 50.1
[Frame 0300] time = 0.020s, FPS ~ 48.8
[Frame 0301] time = 0.030s, FPS ~ 33.3
[Frame 0302] time = 0.030s, FPS ~ 33.3
[Frame 0303] time = 0.030s, FPS ~ 33.3
[Frame 0304] time = 0.020s, FPS ~ 50.0
[Frame 0305] time = 0.030s, FPS ~ 33.4
[Frame 0306] time = 0.020s, FPS ~ 50.0
[Frame 0307] time = 0.020s, FPS ~ 49.8
[Frame 0308] time = 0.030s, FPS ~ 33.3
[Frame 0309] time = 0.020s, FPS ~ 50.2
[Frame 0310] time = 0.030s, FPS ~ 33.2
[Frame 0311] time = 0.020s, FPS ~ 49.4
[Frame 0312] time = 0.030s, FPS ~ 33.3
[Frame 0313] time = 0.020s, FPS ~ 50.0
[Frame 0314] time = 0.020s, FPS ~ 49.8
[Frame 0315] time = 0.020s, FPS ~ 50.2
[Frame 0316] time = 0.020s, FPS ~ 50.0
[Frame 0317] time = 0.020s, FPS ~ 49.8
[Frame 0318] time = 0.020s, FPS ~ 50.0
[Frame 0319] time = 0.020s, FPS ~ 50.2
[Frame 0320] time = 0.020s, FPS ~ 50.0
[Frame 0321] time = 0.030s, FPS ~ 33.3
[Frame 0322] time = 0.020s, FPS ~ 50.0
[Frame 0323] time = 0.020s, FPS ~ 50.0
[Frame 0324] time = 0.030s, FPS ~ 33.2
[Frame 0325] time = 0.020s, FPS ~ 50.1
[Frame 0326] time = 0.020s, FPS ~ 49.9
[Frame 0327] time = 0.020s, FPS ~ 50.0
[Frame 0328] time = 0.020s, FPS ~ 50.0
[Frame 0329] time = 0.030s, FPS ~ 33.4
[Frame 0330] time = 0.020s, FPS ~ 49.9
[Frame 0331] time = 0.020s, FPS ~ 50.1
[Frame 0332] time = 0.020s, FPS ~ 49.8
[Frame 0333] time = 0.020s, FPS ~ 50.0
[Frame 0334] time = 0.020s, FPS ~ 50.2
[Frame 0335] time = 0.020s, FPS ~ 50.0
[Frame 0336] time = 0.020s, FPS ~ 50.0
[Frame 0337] time = 0.020s, FPS ~ 49.8
[Frame 0338] time = 0.020s, FPS ~ 50.2
[Frame 0339] time = 0.020s, FPS ~ 50.0
[Frame 0340] time = 0.020s, FPS ~ 49.4
[Frame 0341] time = 0.020s, FPS ~ 50.0
[Frame 0342] time = 0.030s, FPS ~ 33.2
[Frame 0343] time = 0.030s, FPS ~ 33.4
[Frame 0344] time = 0.020s, FPS ~ 49.8
[Frame 0345] time = 0.020s, FPS ~ 50.0
[Frame 0346] time = 0.020s, FPS ~ 50.0
[Frame 0347] time = 0.020s, FPS ~ 50.2
[Frame 0348] time = 0.030s, FPS ~ 33.3
[Frame 0349] time = 0.020s, FPS ~ 50.0
[Frame 0350] time = 0.020s, FPS ~ 49.9
[Frame 0351] time = 0.020s, FPS ~ 49.3
[Frame 0352] time = 0.031s, FPS ~ 32.6
[Frame 0353] time = 0.020s, FPS ~ 49.3
[Frame 0354] time = 0.020s, FPS ~ 49.6
[Frame 0355] time = 0.020s, FPS ~ 50.4
[Frame 0356] time = 0.020s, FPS ~ 49.9
[Frame 0357] time = 0.020s, FPS ~ 48.9
[Frame 0358] time = 0.020s, FPS ~ 48.9
[Frame 0359] time = 0.020s, FPS ~ 50.0
[Frame 0360] time = 0.020s, FPS ~ 49.8
[Frame 0361] time = 0.020s, FPS ~ 49.5
[Frame 0362] time = 0.021s, FPS ~ 48.3
[Frame 0363] time = 0.031s, FPS ~ 32.5
[Frame 0364] time = 0.020s, FPS ~ 49.8
[Frame 0365] time = 0.020s, FPS ~ 49.0
[Frame 0366] time = 0.020s, FPS ~ 49.8
[Frame 0367] time = 0.020s, FPS ~ 49.3
[Frame 0368] time = 0.020s, FPS ~ 49.8
[Frame 0369] time = 0.020s, FPS ~ 50.2
[Frame 0370] time = 0.030s, FPS ~ 33.3
[Frame 0371] time = 0.030s, FPS ~ 33.4
[Frame 0372] time = 0.021s, FPS ~ 48.7
[Frame 0373] time = 0.021s, FPS ~ 48.4
[Frame 0374] time = 0.020s, FPS ~ 50.0
[Frame 0375] time = 0.020s, FPS ~ 50.0
[Frame 0376] time = 0.020s, FPS ~ 50.2
[Frame 0377] time = 0.020s, FPS ~ 49.9
[Frame 0378] time = 0.020s, FPS ~ 50.2
[Frame 0379] time = 0.020s, FPS ~ 49.1
[Frame 0380] time = 0.020s, FPS ~ 49.8
[Frame 0381] time = 0.020s, FPS ~ 49.1
[Frame 0382] time = 0.020s, FPS ~ 49.1
[Frame 0383] time = 0.020s, FPS ~ 49.8
[Frame 0384] time = 0.020s, FPS ~ 48.9
[Frame 0385] time = 0.020s, FPS ~ 49.1
[Frame 0386] time = 0.020s, FPS ~ 49.5
[Frame 0387] time = 0.020s, FPS ~ 51.0
[Frame 0388] time = 0.030s, FPS ~ 33.3
[Frame 0389] time = 0.020s, FPS ~ 48.9
[Frame 0390] time = 0.020s, FPS ~ 49.7
[Frame 0391] time = 0.020s, FPS ~ 50.2
[Frame 0392] time = 0.020s, FPS ~ 49.8
[Frame 0393] time = 0.030s, FPS ~ 32.9
[Frame 0394] time = 0.020s, FPS ~ 50.0
[Frame 0395] time = 0.020s, FPS ~ 49.3
[Frame 0396] time = 0.020s, FPS ~ 49.9
[Frame 0397] time = 0.020s, FPS ~ 50.0
[Frame 0398] time = 0.020s, FPS ~ 50.2
[Frame 0399] time = 0.020s, FPS ~ 49.9
[Frame 0400] time = 0.021s, FPS ~ 48.4
[Frame 0401] time = 0.030s, FPS ~ 33.3
[Frame 0402] time = 0.030s, FPS ~ 33.2
[Frame 0403] time = 0.020s, FPS ~ 49.3
[Frame 0404] time = 0.020s, FPS ~ 49.8
[Frame 0405] time = 0.020s, FPS ~ 49.4
[Frame 0406] time = 0.020s, FPS ~ 48.8
[Frame 0407] time = 0.020s, FPS ~ 48.9
[Frame 0408] time = 0.020s, FPS ~ 49.8
[Frame 0409] time = 0.020s, FPS ~ 50.0
[Frame 0410] time = 0.020s, FPS ~ 50.2
[Frame 0411] time = 0.020s, FPS ~ 49.4
[Frame 0412] time = 0.020s, FPS ~ 48.9
[Frame 0413] time = 0.020s, FPS ~ 49.3
[Frame 0414] time = 0.020s, FPS ~ 48.9
[Frame 0415] time = 0.020s, FPS ~ 49.4
[Frame 0416] time = 0.030s, FPS ~ 33.2
[Frame 0417] time = 0.030s, FPS ~ 33.3
[Frame 0418] time = 0.020s, FPS ~ 50.0
[Frame 0419] time = 0.020s, FPS ~ 50.2
[Frame 0420] time = 0.020s, FPS ~ 49.8
[Frame 0421] time = 0.031s, FPS ~ 32.7
[Frame 0422] time = 0.020s, FPS ~ 50.0
[Frame 0423] time = 0.020s, FPS ~ 50.0
[Frame 0424] time = 0.020s, FPS ~ 49.6
[Frame 0425] time = 0.020s, FPS ~ 49.0
[Frame 0426] time = 0.021s, FPS ~ 48.6
[Frame 0427] time = 0.020s, FPS ~ 50.2
[Frame 0428] time = 0.020s, FPS ~ 49.0
[Frame 0429] time = 0.030s, FPS ~ 33.0
[Frame 0430] time = 0.021s, FPS ~ 48.5
[Frame 0431] time = 0.030s, FPS ~ 32.8
[Frame 0432] time = 0.030s, FPS ~ 33.3
[Frame 0433] time = 0.020s, FPS ~ 49.8
